Scheme Name,Target Group,Support Type,Eligibility,State/National,Link
National Scholarship Portal (NSP),Students,Scholarship,Class 1 to PhD students from economically weaker sections,National,https://scholarships.gov.in/
AICTE Pragati Scholarship,Students (Girls),Scholarship,Girls pursuing technical education,National,https://www.aicte-india.org/schemes/students-development-schemes
AICTE Saksham Scholarship,Differently-abled Students,Scholarship,Students with disability pursuing technical courses,National,https://www.aicte-india.org/schemes/students-development-schemes
INSPIRE Scholarship,Science Students,Scholarship,Top 1% of Class 12 students pursuing natural sciences,National,https://online-inspire.gov.in/
Post-Matric Scholarship for SC/ST,SC/ST Students,Scholarship,Students of SC/ST communities studying beyond Class 10,National,https://socialjustice.gov.in/
NMMS Scholarship,Meritorious Students (8th Grade),Scholarship,Class 8 students from low-income families,National,https://scholarships.gov.in/
Startup India,Startups,Incentives,Registered startups with DPIIT certificate,National,https://www.startupindia.gov.in/
Startup Kerala Mission,Kerala Startups,Seed Funding,Registered tech startups in Kerala,State,https://startupmission.kerala.gov.in/
TIDE 2.0,Tech Startups,Funding & Mentorship,"Tech startups in emerging areas like AI, IoT",National,https://meity.gov.in/
Stand-Up India,Women/SC/ST Entrepreneurs,Loan,Entrepreneurs from SC/ST or women-owned businesses,National,https://www.standupmitra.in/
MSME Samadhan,MSMEs,Delayed Payment Resolution,Registered MSME units facing payment delays,National,https://msme.gov.in/
PM Kisan Samman Nidhi,Farmers,Income Support,Small and marginal farmers,National,https://pmkisan.gov.in/
PMFBY,Farmers,Insurance,Farmers with insurable crops,National,https://pmfby.gov.in/
Kisan Credit Card (KCC),Farmers,Loan,Farmers needing crop loans,National,https://vikaspedia.in/
Soil Health Card Scheme,Farmers,Soil Testing,All Indian farmers,National,https://soilhealth.dac.gov.in/
National Horticulture Mission,Horticulture Farmers,Subsidy,Farmers involved in horticulture activities,National,https://midh.gov.in/
Mahila Samman Savings Certificate,Women,Savings Scheme,Indian women above 18 years,National,https://www.indiapost.gov.in/
Pradhan Mantri Matru Vandana Yojana,Pregnant Women,Cash Benefit,Pregnant/lactating women for first child,National,https://wcd.nic.in/
Indira Gandhi National Widow Pension,Widows,Pension,Widows aged 40–59 below poverty line,National,https://nrega.nic.in/
Pradhan Mantri Ujjwala Yojana,Low-income Women,Subsidy,Women from BPL families,National,https://pmuy.gov.in/
Skill India Mission,Youth,Training,Unemployed youth seeking vocational skills,National,https://skillindia.gov.in/
National Apprenticeship Promotion Scheme,Job Seekers,Stipend/Training,Individuals above 14 years,National,https://www.apprenticeshipindia.gov.in/
MGNREGA,Rural Unemployed,Employment,Rural households seeking employment,National,https://nrega.nic.in/
Ayushman Bharat,Low-income Citizens,Health Insurance,Families eligible under SECC data,National,https://pmjay.gov.in/
Janani Suraksha Yojana,Pregnant Women,Cash Benefit,BPL pregnant women delivering in public facilities,National,https://nhm.gov.in/
E-Sanjeevani,Citizens,Telemedicine,All Indian residents,National,https://esanjeevani.in/
PM Awas Yojana – Urban,Urban Poor,Housing Subsidy,"EWS, LIG, and MIG sections",National,https://pmaymis.gov.in/
PM Awas Yojana – Gramin,Rural Poor,Housing Subsidy,BPL rural families,National,https://pmayg.nic.in/
Suvarna Jubilee Merit Scholarship,Kerala Students,Scholarship,First-year UG/PG students from low-income families,Kerala,https://dcescholarship.kerala.gov.in/
CH Muhammed Koya Scholarship,Muslim Girls,Scholarship,Muslim girls from BPL families in Kerala,Kerala,https://dcescholarship.kerala.gov.in/
DST NIDHI PRAYAS,Innovators,Prototype Funding,Early-stage hardware startups,National,https://nidhi-prayas.org.in/
Atal Pension Yojana,Informal Workers,Pension,18-40 year old unorganized sector workers,National,https://npscra.nsdl.co.in/scheme-details.php
National Social Assistance Programme,BPL Families,Pension,"Elderly, widows, and disabled from BPL families",National,https://nsap.nic.in/
